Date,Price,Volume
2023-04-03,25.8,8159541
2023-03-31,25.85,5374721
2023-03-30,25.9,14038725
2023-03-29,25.7,27086843
2023-03-28,25.0,10204471
2023-03-27,25.0,11919987
2023-03-24,24.95,5083533
2023-03-23,25.1,7896749
2023-03-22,25.05,6085925
2023-03-21,25.1,11964640
2023-03-20,24.75,9861189
2023-03-17,24.6,9485067
2023-03-16,24.45,14721109
2023-03-15,23.85,18560024
2023-03-14,25.0,16510724
2023-03-13,25.0,14834841
2023-03-10,25.8,13220321
2023-03-09,26.0,18492661
2023-03-08,26.0,6261268
2023-03-07,25.95,13261284
2023-03-06,26.3,4773883
2023-03-03,26.6,17396863
2023-03-02,26.4,9276253
2023-03-01,26.65,12489527
2023-02-28,26.5,34247198
2023-02-27,25.95,7953025
2023-02-24,25.75,8129969
2023-02-23,25.35,11525976
2023-02-22,25.2,13000968
2023-02-21,25.0,15036826
2023-02-20,25.0,30271088
2023-02-17,25.0,16892718
2023-02-16,25.5,8441601
2023-02-15,25.35,4959458
2023-02-14,25.3,5051740
2023-02-13,25.65,12598110
2023-02-10,25.2,6872468
2023-02-09,25.1,5413581
2023-02-08,25.2,6116393
2023-02-07,25.0,14670122
2023-02-06,25.1,18016793
2023-02-03,25.2,7978833
2023-02-02,25.1,9263879
2023-02-01,25.5,7289726
2023-01-31,25.0,12516967
2023-01-30,25.1,36763207
2023-01-27,24.9,3913423
2023-01-26,24.7,5775660
2023-01-25,24.5,4766720
2023-01-24,24.5,10893348
2023-01-23,24.6,9917090
2023-01-20,24.45,6975413
2023-01-19,24.5,18554221
2023-01-18,24.55,16918676
2023-01-17,24.6,11322803
2023-01-16,24.6,13516792
2023-01-13,25.55,20310743
2023-01-12,25.1,11778677
2023-01-11,24.4,9011289
2023-01-10,24.35,25459183
2023-01-09,24.3,8292229
2023-01-06,24.45,5123807
2023-01-05,24.55,6245860
2023-01-04,24.1,3957762
2023-01-03,24.0,5429705
2022-12-30,24.0,4324121
2022-12-29,24.9,19642435
2022-12-28,24.9,5052690
2022-12-23,24.55,5999891
2022-12-22,24.1,2446884
2022-12-21,24.3,7619571
2022-12-20,24.25,4520667
2022-12-19,24.0,3776247
2022-12-16,24.1,14125780
2022-12-15,23.5,8691290
2022-12-14,23.0,9787240
2022-12-13,23.0,14186943
2022-12-12,22.45,5528596
2022-12-09,22.1,831387
2022-12-08,22.05,5001993
2022-12-07,22.0,12510061
2022-12-06,22.05,3600656
2022-12-05,22.2,11505328
2022-12-02,22.75,3426695
2022-12-01,22.75,9785563
2022-11-30,21.9,8039764
2022-11-29,21.7,9330852
2022-11-28,22.0,7122638
2022-11-25,21.9,6393290
2022-11-24,22.0,5268765
2022-11-23,22.7,11117790
2022-11-22,22.1,13550004
2022-11-21,21.7,11479261
2022-11-18,21.35,4904553
2022-11-17,21.3,5517403
2022-11-16,21.8,14013597
2022-11-15,20.1,4581273
2022-11-14,19.95,19323689
2022-11-11,19.95,5276843
2022-11-10,19.9,17169673
2022-11-09,19.95,13472579
2022-11-08,19.9,10731333
2022-11-07,20.0,15126250
2022-11-04,19.85,10137402
2022-11-03,19.9,7190550
2022-11-02,19.95,8368837
2022-11-01,20.0,9566765
2022-10-31,20.0,6914193
2022-10-28,20.1,7269543
2022-10-27,20.1,6130479
2022-10-26,19.6,6246194
2022-10-25,19.75,5284248
2022-10-24,20.0,2604355
2022-10-21,20.05,10767051
2022-10-20,20.2,3122665
2022-10-19,20.35,6323213
2022-10-18,20.4,13155012
2022-10-17,20.2,2458917
2022-10-14,20.0,5527745
2022-10-13,19.55,8530325
2022-10-12,19.45,11815536
2022-10-11,19.4,5042810
2022-10-07,19.55,7427382
2022-10-06,19.3,14400498
2022-10-05,19.0,6369132
2022-10-04,19.3,14387702
2022-09-30,20.0,21518853
2022-09-29,20.0,14171390
