company,country,exchange,currency,sector,industry,isin,ticker,notes
SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA,TUNISIA,,,,,,,
SOCIÉTÉ GÉNÉRALE GHANA,GHANA,,,,,,,
SODE IVORY COAST,IVORY COAST,,,,,,,
SOGB IVORY COAST,IVORY COAST,,,,,,,
SOLIBRA IVORY COAST,IVORY COAST,,,,,,,
SONATEL SENEGAL,SENEGAL,,,,,,,
SPAR,SOUTH AFRICA,,,,,,,
STANBIC BANK UGANDA,UGANDA,,,,,,,
STANBIC HOLDINGS KENYA,KENYA,,,,,,,
STANBIC IBTC HOLDINGS NIGERIA,NIGERIA,,,,,,,
STANDARD BANK GROUP,SOUTH AFRICA,,,,,,,
STANDARD BANK MALAWI,MALAWI,,,,,,,
STANDARD CHARTERED BANK BOTSWANA,BOTSWANA,,,,,,,
STANDARD CHARTERED BANK GHANA,GHANA,,,,,,,
STANDARD CHARTERED BANK KENYA,KENYA,,,,,,,
STANDARD CHARTERED BANK ZAMBIA,ZAMBIA,,,,,,,
STARAFRICACORPORATION,ZIMBABWE,,,,,,,
STERLING FINANCIAL HOLDINGS NIGERIA,NIGERIA,,,,,,,
SUCRIVOIRE IVORY COAST,IVORY COAST,,,,,,,
TALAAT MOUSTAFA GROUP EGYPT,EGYPT,,,,,,,
TANGA CEMENT TANZANIA,TANZANIA,,,,,,,
TANZANIA BREWERIES LTD,TANZANIA,,,,,,,
TANZANIA CIGARETTE COMPANY,TANZANIA,,,,,,,
TANZANIA PORTLAND CEMENT,TANZANIA,,,,,,,
TAQA MOROCCO,MOROCCO,,,,,,,
TELECOM EGYPT,EGYPT,,,,,,,
TIGER BRANDS,SOUTH AFRICA,,,,,,,
TIGERE PROPERTY FUND,ZIMBABWE,,,,,,,
TN CYBERTECH INVESTMENTS HOLDINGS,ZIMBABWE,,,,,,,
TOTALENERGIES MARKETING IVORY COAST,IVORY COAST,,,,,,,
TOTALENERGIES MARKETING KENYA,KENYA,,,,,,,
TOTALENERGIES MARKETING NIGERIA,NIGERIA,,,,,,,
TOTALENERGIES MARKETING SENEGAL,SENEGAL,,,,,,,
TRACTAFRIC MOTORS IVORY COAST,IVORY COAST,,,,,,,
TRANSCORP HOTELS NIGERIA,NIGERIA,,,,,,,
TRANSCORP PLC NIGERIA,NIGERIA,,,,,,,
TRANSCORP POWER NIGERIA,NIGERIA,,,,,,,
TRUWORTHS INT,SOUTH AFRICA,,,,,,,
TSL,ZIMBABWE,,,,,,,
UNILEVER IVORY COAST,IVORY COAST,,,,,,,
UNILEVER NIGERIA,NIGERIA,,,,,,,
UNITED BANK FOR AFRICA NIGERIA,NIGERIA,,,,,,,
UNIWAX IVORY COAST,IVORY COAST,,,,,,,
UPDC PLC NIGERIA,NIGERIA,,,,,,,
VIVO ENERGY IVORY COAST,IVORY COAST,,,,,,,
VODACOM,SOUTH AFRICA,,,,,,,
WEMA BANK NIGERIA,NIGERIA,,,,,,,
WILSON BAYLY HOLMES OVCON,SOUTH AFRICA,,,,,,,
WOOLWORTHS HOLDINGS,SOUTH AFRICA,,,,,,,
ZAMBEEF PRODUCTS ZAMBIA,ZAMBIA,,,,,,,
