company,rows,file
MANAGEM MOROCCO (MOROCCO),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/MANAGEM MOROCCO.csv
BANK OF AFRICA MOROCCO (MOROCCO),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/BANK OF AFRICA MOROCCO.csv
CORONATION INSURANCE NIGERIA (NIGERIA),1,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/CORONATION INSURANCE NIGERIA.csv
TOTALENERGIES MARKETING SENEGAL (SENEGAL),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/senegal/TOTALENERGIES MARKETING SENEGAL.csv
BERGER PAINTS NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/BERGER PAINTS NIGERIA.csv
I&M GROUP KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/I&M GROUP KENYA.csv
TRANSCORP HOTELS NIGERIA (NIGERIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/TRANSCORP HOTELS NIGERIA.csv
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/BANQUE CENTRALE POPULAIRE MOROCCO.csv
TOTALENERGIES MARKETING NIGERIA (NIGERIA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/TOTALENERGIES MARKETING NIGERIA.csv
MTN GHANA (GHANA),2,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/MTN GHANA.csv
TAQA MOROCCO (MOROCCO),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/TAQA MOROCCO.csv
CIMENTS DU MAROC MOROCCO (MOROCCO),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/CIMENTS DU MAROC MOROCCO.csv
BRALIRWA RWANDA (RWANDA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/rwanda/BRALIRWA RWANDA.csv
COSUMAR MOROCCO (MOROCCO),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/COSUMAR MOROCCO.csv
AIRTEL AFRICA NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/AIRTEL AFRICA NIGERIA.csv
GEREGU POWER NIGERIA (NIGERIA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/nigeria/GEREGU POWER NIGERIA.csv
MTN RWANDACELL (RWANDA),5,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/rwanda/MTN RWANDACELL.csv
SIMBISA BRANDS (ZIMBABWE),12,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/SIMBISA BRANDS.csv
PADENGA HOLDINGS (ZIMBABWE),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/PADENGA HOLDINGS.csv
CIH BANK (MOROCCO),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/CIH BANK.csv
TIGERE PROPERTY FUND (ZIMBABWE),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/zimbabwe/TIGERE PROPERTY FUND.csv
BRITAM HOLDINGS KENYA (KENYA),4,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/BRITAM HOLDINGS KENYA.csv
JUBILEE HOLDINGS KENYA (KENYA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/JUBILEE HOLDINGS KENYA.csv
CIC INSURANCE GROUP KENYA (KENYA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/CIC INSURANCE GROUP KENYA.csv
SBM HOLDINGS MAURITIUS (MAURITIUS),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/SBM HOLDINGS MAURITIUS.csv
CRDB BANK PLC TANZANIA (TANZANIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/CRDB BANK PLC TANZANIA.csv
ATLANTASANAD MOROCCO (MOROCCO),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/morocco/ATLANTASANAD MOROCCO.csv
ASCENCIA MAURITIUS (MAURITIUS),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/ASCENCIA MAURITIUS.csv
TANZANIA BREWERIES LTD (TANZANIA),8,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/TANZANIA BREWERIES LTD.csv
TOTALENERGIES MARKETING KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/kenya/TOTALENERGIES MARKETING KENYA.csv
NEW MAURITIUS HOTELS (MAURITIUS),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/NEW MAURITIUS HOTELS.csv
GCB BANK PLC GHANA (GHANA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/ghana/GCB BANK PLC GHANA.csv
I&M BANK RWANDA (RWANDA),7,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/rwanda/I&M BANK RWANDA.csv
AMEN BANK TUNISIA (TUNISIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/AMEN BANK TUNISIA.csv
POULINA GROUP HOLDING TUNISIA (TUNISIA),10,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tunisia/POULINA GROUP HOLDING TUNISIA.csv
LUX ISLAND RESTORTS MAURITIUS (MAURITIUS),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/mauritius/LUX ISLAND RESTORTS MAURITIUS.csv
NMB BANK TANZANIA (TANZANIA),9,/Users/derrythornalley/AM100_DATA/input_updates/2026-04-08/dividends_extracted/tanzania/NMB BANK TANZANIA.csv
