HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM300,POULINA GROUP HOLDING TUNISIA (TUNISIA),POULINA GROUP HOLDING TUNISIA TUNISIA (TUNISIA),
AM100,PRESCO PLC NIGERIA (NIGERIA),PRESCO PLC NIGERIA NIGERIA (NIGERIA),
AM200,PRESCO PLC NIGERIA (NIGERIA),PRESCO PLC NIGERIA NIGERIA (NIGERIA),
AM300,PRESCO PLC NIGERIA (NIGERIA),PRESCO PLC NIGERIA NIGERIA (NIGERIA),
AM100,PROSUS (SOUTH AFRICA),PROSUS SOUTH AFRICA (SOUTH AFRICA),
AM300,PROSUS (SOUTH AFRICA),PROSUS SOUTH AFRICA (SOUTH AFRICA),
AM100,PSG KONSULT (SOUTH AFRICA),PSG KONSULT SOUTH AFRICA (SOUTH AFRICA),
AM200,PSG KONSULT (SOUTH AFRICA),PSG KONSULT SOUTH AFRICA (SOUTH AFRICA),
AM300,PSG KONSULT (SOUTH AFRICA),PSG KONSULT SOUTH AFRICA (SOUTH AFRICA),
AM200,QATAR NATIONAL BANK ALAHLY (EGYPT),QATAR NATIONAL BANK ALAHLY EGYPT (EGYPT),
AM300,QATAR NATIONAL BANK ALAHLY (EGYPT),QATAR NATIONAL BANK ALAHLY EGYPT (EGYPT),
AM100,QUILTER (SOUTH AFRICA),QUILTER SOUTH AFRICA (SOUTH AFRICA),
AM200,QUILTER (SOUTH AFRICA),QUILTER SOUTH AFRICA (SOUTH AFRICA),
AM300,QUILTER (SOUTH AFRICA),QUILTER SOUTH AFRICA (SOUTH AFRICA),
AM100,RAUBEX (SOUTH AFRICA),RAUBEX SOUTH AFRICA (SOUTH AFRICA),
AM200,RAUBEX (SOUTH AFRICA),RAUBEX SOUTH AFRICA (SOUTH AFRICA),
AM300,RAUBEX (SOUTH AFRICA),RAUBEX SOUTH AFRICA (SOUTH AFRICA),
AM100,RAYA HOLDING EGYPT (EGYPT),RAYA HOLDING EGYPT EGYPT (EGYPT),
AM200,RAYA HOLDING EGYPT (EGYPT),RAYA HOLDING EGYPT EGYPT (EGYPT),
AM300,RAYA HOLDING EGYPT (EGYPT),RAYA HOLDING EGYPT EGYPT (EGYPT),
AM100,REMGRO (SOUTH AFRICA),REMGRO SOUTH AFRICA (SOUTH AFRICA),
AM300,REMGRO (SOUTH AFRICA),REMGRO SOUTH AFRICA (SOUTH AFRICA),
AM100,SAFARICOM KENYA (KENYA),SAFARICOM KENYA KENYA (KENYA),
AM300,SAFARICOM KENYA (KENYA),SAFARICOM KENYA KENYA (KENYA),
AM100,SANTAM (SOUTH AFRICA),SANTAM SOUTH AFRICA (SOUTH AFRICA),
AM200,SANTAM (SOUTH AFRICA),SANTAM SOUTH AFRICA (SOUTH AFRICA),
AM300,SANTAM (SOUTH AFRICA),SANTAM SOUTH AFRICA (SOUTH AFRICA),
AM200,SASINI (KENYA) (KENYA),SASINI KENYA,
AM300,SASINI (KENYA) (KENYA),SASINI KENYA,
AM100,SBM HOLDINGS MAURITIUS (MAURITIUS),SBM HOLDINGS MAURITIUS MAURITIUS (MAURITIUS),
AM200,SBM HOLDINGS MAURITIUS (MAURITIUS),SBM HOLDINGS MAURITIUS MAURITIUS (MAURITIUS),
AM300,SBM HOLDINGS MAURITIUS (MAURITIUS),SBM HOLDINGS MAURITIUS MAURITIUS (MAURITIUS),
AM200,SBN HOLDINGS (NAMIBIA),SBN HOLDINGS NAMIBIA (NAMIBIA),
AM300,SBN HOLDINGS (NAMIBIA),SBN HOLDINGS NAMIBIA (NAMIBIA),
AM200,SCANGROUP (KENYA) (KENYA),SCANGROUP KENYA,
