Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
GB AUTO EGYPT (EGYPT),OK,1080279.3238200846,0.1283983698989561,82,1080279.3238200846,1080279.3238200846,216055.86476401694,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,1080279.3238200846,64.0,True,2020-07-31
DANGOTE CEMENT NIGERIA (NIGERIA),OK,1072151.4683011996,0.327741935483871,84,1072151.4683011996,1072151.4683011996,214430.29366023993,30,,,,,2020-07-31,2020-06-30,2020-07-31,NIGERIA,MID,1072151.4683011996,65.0,True,2020-07-31
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),OK,1037432.0421365584,22.66563547306007,87,1037432.0421365584,1037432.0421365584,207486.4084273117,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,1037432.0421365584,66.0,True,2020-07-31
PALM HILLS DEVELOPMANT COMPANY EGYPT (EGYPT),OK,983102.0593588629,0.07195270970183044,82,983102.0593588629,983102.0593588629,196620.4118717726,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,983102.0593588629,67.0,True,2020-07-31
SANTAM (SOUTH AFRICA),OK,980186.8881997942,14.13222987996716,86,980186.8881997942,980186.8881997942,196037.37763995887,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,980186.8881997942,68.0,True,2020-07-31
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),OK,972340.9050618472,0.3603838304893404,82,972340.9050618472,972340.9050618472,194468.18101236946,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,972340.9050618472,69.0,True,2020-07-31
EQUITY GROUP HOLDINGS KENYA (KENYA),OK,874542.3641107903,0.3287852946750047,85,874542.3641107903,874542.3641107903,174908.47282215807,30,,,,,2020-07-31,2020-06-30,2020-07-31,KENYA,MID,874542.3641107903,70.0,True,2020-07-31
BELTONE HOLDING EGYPT (EGYPT),ZERO_CONFIRMED,844517.1146978582,0.1420445734630963,82,844517.1146978582,844517.1146978582,168903.42293957167,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,844517.1146978582,71.0,True,2020-07-31
KCB GROUP KENYA (KENYA),OK,701838.0584998884,0.3444191775630093,85,701838.0584998884,701838.0584998884,140367.6116999777,30,,,,,2020-07-31,2020-06-30,2020-07-31,KENYA,MID,701838.0584998884,72.0,True,2020-07-31
NIGERIAN BREWERIES (NIGERIA),OK,675150.1085685949,0.09316129032258065,84,675150.1085685949,675150.1085685949,135030.02171371898,30,,,,,2020-07-31,2020-06-30,2020-07-31,NIGERIA,MID,675150.1085685949,73.0,True,2020-07-31
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),OK,661405.6357980061,139.2111368909513,85,661405.6357980061,661405.6357980061,132281.12715960122,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,661405.6357980061,74.0,True,2020-07-31
TSOGO SUN GAMING (SOUTH AFRICA),OK,612410.8759933386,0.2537204646313673,86,612410.8759933386,612410.8759933386,122482.17519866774,30,,,,,2020-07-31,2020-06-30,2020-07-31,SOUTH AFRICA,HIGH,612410.8759933386,75.0,True,2020-07-31
MARSA MAROC MOROCCO (MOROCCO),OK,609314.2181153753,19.79891724671307,88,609314.2181153753,609314.2181153753,121862.84362307505,30,,,,,2020-07-31,2020-06-30,2020-07-31,MOROCCO,MID,609314.2181153753,76.0,True,2020-07-31
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),OK,591978.3173599174,0.02419099722733955,82,591978.3173599174,591978.3173599174,118395.6634719835,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,591978.3173599174,77.0,True,2020-07-31
MCB GROUP LTD MAURITIUS (MAURITIUS),OK,548796.4834068284,6.028097062579821,77,548796.4834068284,548796.4834068284,109759.29668136568,30,,,,,2020-07-31,2020-06-30,2020-07-31,MAURITIUS,LOW,548796.4834068284,78.0,True,2020-07-31
JUHAYNA FOOD INDUSTRIES (EGYPT),OK,538060.9959238437,0.4652114851411451,81,538060.9959238437,538060.9959238437,107612.19918476875,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,538060.9959238437,79.0,True,2020-07-31
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),OK,527817.3069896229,0.3566621386082113,82,527817.3069896229,527817.3069896229,105563.46139792458,30,,,,,2020-07-31,2020-06-30,2020-07-31,EGYPT,MID,527817.3069896229,80.0,True,2020-07-31
