Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank
HULAMIN LIMITED (SOUTH AFRICA),OK,746210.6697340625,14.77196606427192,84,746210.6697340625,746210.6697340625,149242.1339468125,30,,,,,2026-01-31,2025-12-31,2026-01-31,SOUTH AFRICA,HIGH,746210.6697340625,92.0
MTN NIGERIA (NIGERIA),OK,715050.0542328389,0.3536650356087399,86,715050.0542328389,715050.0542328389,143010.01084656778,30,,,,,2026-01-31,2025-12-31,2026-01-31,NIGERIA,MID,715050.0542328389,93.0
COSUMAR MOROCCO (MOROCCO),OK,713937.2399447213,23.03151038834296,85,713937.2399447213,713937.2399447213,142787.44798894427,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,713937.2399447213,94.0
IBNSINA PHARMA (EGYPT),OK,708368.7983466964,0.2458167113415468,86,708368.7983466964,708368.7983466964,141673.75966933928,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,708368.7983466964,95.0
MCB GROUP LTD MAURITIUS (MAURITIUS),OK,666674.3691565221,9.666666666666666,87,666674.3691565221,666674.3691565221,133334.87383130443,30,,,,,2026-01-31,2025-12-31,2026-01-31,MAURITIUS,LOW,666674.3691565221,96.0
SONATEL SENEGAL (SENEGAL),OK,655549.5467677654,46.74312950262769,87,655549.5467677654,655549.5467677654,131109.90935355308,30,,,,,2026-01-31,2025-12-31,2026-01-31,SENEGAL,LOW,655549.5467677654,97.0
GB AUTO EGYPT (EGYPT),OK,601731.0896676768,0.5663012974591949,86,601731.0896676768,601731.0896676768,120346.21793353537,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,601731.0896676768,98.0
MANAGEM MOROCCO (MOROCCO),OK,570822.6492089466,724.332513441744,85,570822.6492089466,570822.6492089466,114164.52984178934,30,,,,,2026-01-31,2025-12-31,2026-01-31,MOROCCO,MID,570822.6492089466,99.0
MTN GHANA (GHANA),OK,559338.530459028,0.4005046358411599,85,559338.530459028,559338.530459028,111867.7060918056,30,,,,,2026-01-31,2025-12-31,2026-01-31,GHANA,LOW,559338.530459028,100.0
JUHAYNA FOOD INDUSTRIES (EGYPT),OK,555779.9461982952,0.5302258073988314,86,555779.9461982952,555779.9461982952,111155.98923965904,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,555779.9461982952,101.0
ARABIAN CEMENT COMPANY (EGYPT),OK,547958.8862008054,1.065485404108411,86,547958.8862008054,547958.8862008054,109591.77724016109,30,,,,,2026-01-31,2025-12-31,2026-01-31,EGYPT,MID,547958.8862008054,102.0
