Date,ObservationDate,ImplementationDate,Company,Country,Weight,Liquidity,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,Rank,Dividend_Status,Price,Trading Days (90d),StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Regime,RawLiquidity
2026-01-31,2025-12-31,2026-01-31,SIBANYE STILLWATER (SOUTH AFRICA),SOUTH AFRICA,0.007329446950183322,40202675.29154995,40202675.29154995,40202675.29154995,8040535.058309991,30,14,OK,3.651963639722016,85,,,,,HIGH,40202675.29154995
2026-01-31,2025-12-31,2026-01-31,CIMENTS DU MAROC MOROCCO (MOROCCO),MOROCCO,0.007293893665682659,754883.8014653584,754883.8014653584,754883.8014653584,150976.7602930717,30,91,OK,209.3773671667541,85,,,,,MID,754883.8014653584
2026-01-31,2025-12-31,2026-01-31,ABU QIR FERTILIZERS EGYPT (EGYPT),EGYPT,0.007230267616049131,1142955.637711332,1142955.637711332,1142955.637711332,228591.1275422664,30,80,OK,1.069680228534035,86,,,,,MID,1142955.637711332
2026-01-31,2025-12-31,2026-01-31,ABU DHABI ISLAMIC BANK EGYPT (EGYPT),EGYPT,0.006981243729909815,1103590.116308509,1103590.116308509,1103590.116308509,220718.0232617019,30,81,OK,0.627126251630738,86,,,,,MID,1103590.116308509
2026-01-31,2025-12-31,2026-01-31,HARMONY GOLD MINING COMPANY (SOUTH AFRICA),SOUTH AFRICA,0.00693901744928655,38061134.38737542,38061134.38737542,38061134.38737542,7612226.877475085,30,15,OK,20.34717196161152,85,,,,,HIGH,38061134.38737542
2026-01-31,2025-12-31,2026-01-31,COSUMAR MOROCCO (MOROCCO),MOROCCO,0.006898256793985174,713937.2399447213,713937.2399447213,713937.2399447213,142787.4479889443,30,94,OK,23.03151038834296,85,,,,,MID,713937.2399447213
2026-01-31,2025-12-31,2026-01-31,IMPALA PLATINUM HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.006806889381827508,37336400.06170806,37336400.06170806,37336400.06170806,7467280.012341613,30,16,OK,15.81511526623419,85,,,,,HIGH,37336400.06170806
2026-01-31,2025-12-31,2026-01-31,BRITISH AMERICAN TOBACCO (SOUTH AFRICA),SOUTH AFRICA,0.006261604878875638,34345465.5529127,34345465.5529127,34345465.5529127,6869093.11058254,30,17,OK,56.81489614841581,85,,,,,HIGH,34345465.5529127
2026-01-31,2025-12-31,2026-01-31,ABSA (SOUTH AFRICA),SOUTH AFRICA,0.006103522378837146,33478368.83176583,33478368.83176583,33478368.83176583,6695673.766353166,30,18,OK,14.44849614551838,85,,,,,HIGH,33478368.83176583
2026-01-31,2025-12-31,2026-01-31,EMAAR MISR EGYPT (EGYPT),EGYPT,0.006063151137470609,958458.6827029026,958458.6827029026,958458.6827029026,191691.7365405805,30,86,ZERO_CONFIRMED,0.2034489846427478,86,,,,,MID,958458.6827029026
2026-01-31,2025-12-31,2026-01-31,ALEXANDRIA CONTAINERS AND GOODS (EGYPT),EGYPT,0.005915863029598088,935175.481831187,935175.481831187,935175.481831187,187035.0963662374,30,87,OK,0.5134465096963367,86,,,,,MID,935175.481831187
2026-01-31,2025-12-31,2026-01-31,MANAGEM MOROCCO (MOROCCO),MOROCCO,0.00551544449253147,570822.6492089466,570822.6492089466,570822.6492089466,114164.5298417893,30,99,OK,724.332513441744,85,,,,,MID,570822.6492089466
2026-01-31,2025-12-31,2026-01-31,ANGLO AMERICAN (SOUTH AFRICA),SOUTH AFRICA,0.00540409874736875,29641967.3490513,29641967.3490513,29641967.3490513,5928393.46981026,30,19,OK,41.35471553014138,85,,,,,HIGH,29641967.3490513
2026-01-31,2025-12-31,2026-01-31,EDITA FOOD INDUSTRIES COMPANY (EGYPT),EGYPT,0.005078596783130368,802821.0203529549,802821.0203529549,802821.0203529549,160564.204070591,30,89,OK,0.576788358523254,86,,,,,MID,802821.0203529549
2026-01-31,2025-12-31,2026-01-31,OLD MUTUAL (SOUTH AFRICA),SOUTH AFRICA,0.004949871155255401,27150488.18038922,27150488.18038922,27150488.18038922,5430097.636077845,30,20,OK,0.8994092269728602,85,,,,,HIGH,27150488.18038922
2026-01-31,2025-12-31,2026-01-31,IBNSINA PHARMA (EGYPT),EGYPT,0.00448109779060323,708368.7983466964,708368.7983466964,708368.7983466964,141673.7596693393,30,95,OK,0.2458167113415468,86,,,,,MID,708368.7983466964
2026-01-31,2025-12-31,2026-01-31,SHOPRITE HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.004181820644323283,22937662.09564067,22937662.09564067,22937662.09564067,4587532.419128135,30,21,OK,16.31190304730712,85,,,,,HIGH,22937662.09564067
2026-01-31,2025-12-31,2026-01-31,PEPKOR HOLDINGS LTD (SOUTH AFRICA),SOUTH AFRICA,0.003913356105697426,21465109.97171799,21465109.97171799,21465109.97171799,4293021.994343597,30,22,OK,1.596602285465245,86,,,,,HIGH,21465109.97171799
2026-01-31,2025-12-31,2026-01-31,GB AUTO EGYPT (EGYPT),EGYPT,0.00380651415299548,601731.0896676768,601731.0896676768,601731.0896676768,120346.2179335354,30,98,OK,0.5663012974591949,86,,,,,MID,601731.0896676768
2026-01-31,2025-12-31,2026-01-31,BID CORP (SOUTH AFRICA),SOUTH AFRICA,0.003799293001078895,20839463.59090747,20839463.59090747,20839463.59090747,4167892.718181495,30,23,OK,25.4653537304054,85,,,,,HIGH,20839463.59090747
2026-01-31,2025-12-31,2026-01-31,BID CORPORATION (SOUTH AFRICA),SOUTH AFRICA,0.003799293001078895,20839463.59090747,20839463.59090747,20839463.59090747,4167892.718181495,30,24,OK,25.4653537304054,85,,,,,HIGH,20839463.59090747
2026-01-31,2025-12-31,2026-01-31,DISCOVERY HOLDINGS (SOUTH AFRICA),SOUTH AFRICA,0.003649040147368287,20015313.18359669,20015313.18359669,20015313.18359669,4003062.636719339,30,25,OK,13.73741958889151,85,,,,,HIGH,20015313.18359669
2026-01-31,2025-12-31,2026-01-31,JUHAYNA FOOD INDUSTRIES (EGYPT),EGYPT,0.003515830023546347,555779.9461982952,555779.9461982952,555779.9461982952,111155.989239659,30,101,OK,0.5302258073988314,86,,,,,MID,555779.9461982952
2026-01-31,2025-12-31,2026-01-31,ARABIAN CEMENT COMPANY (EGYPT),EGYPT,0.003466354475277247,547958.8862008054,547958.8862008054,547958.8862008054,109591.7772401611,30,102,OK,1.065485404108411,86,,,,,MID,547958.8862008054
2026-01-31,2025-12-31,2026-01-31,SANLAM (SOUTH AFRICA),SOUTH AFRICA,0.003286844069378898,18028635.14168576,18028635.14168576,18028635.14168576,3605727.028337152,30,26,OK,5.945155353325973,85,,,,,HIGH,18028635.14168576
2026-01-31,2025-12-31,2026-01-31,GLENCORE (SOUTH AFRICA),SOUTH AFRICA,0.003079365682615156,16890597.54215464,16890597.54215464,16890597.54215464,3378119.508430928,30,27,OK,5.502090673729946,85,,,,,HIGH,16890597.54215464
2026-01-31,2025-12-31,2026-01-31,MR PRICE (SOUTH AFRICA),SOUTH AFRICA,0.00299639795612106,16435512.10520542,16435512.10520542,16435512.10520542,3287102.421041084,30,28,OK,10.56232392857121,85,,,,,HIGH,16435512.10520542
2026-01-31,2025-12-31,2026-01-31,BHP (SOUTH AFRICA),SOUTH AFRICA,0.002702181408663832,14821707.89825526,14821707.89825526,14821707.89825526,2964341.579651053,30,29,OK,30.61130249546824,85,,,,,HIGH,14821707.89825526
2026-01-31,2025-12-31,2026-01-31,CLICKS (SOUTH AFRICA),SOUTH AFRICA,0.002675927401667143,14677702.31017149,14677702.31017149,14677702.31017149,2935540.462034298,30,30,OK,20.3163868135742,85,,,,,HIGH,14677702.31017149
