header,status,canonical,events,output
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),imported,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),8,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/SIDI KERIR PETROCHEMICALS EGYPT.csv
SONATEL SENEGAL (SENEGAL),imported,SONATEL SENEGAL (SENEGAL),10,/Users/derrythornalley/AM100_DATA/data/dividends/senegal/SONATEL SENEGAL.csv
SPAR (SOUTH AFRICA),imported,SPAR (SOUTH AFRICA),14,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/SPAR.csv
STANBIC HOLDINGS KENYA (KENYA),imported,STANBIC HOLDINGS KENYA (KENYA),17,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/STANBIC HOLDINGS KENYA.csv
STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),imported,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),19,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/STANBIC IBTC HOLDINGS NIGERIA.csv
STANDARD BANK GROUP (SOUTH AFRICA),imported,STANDARD BANK GROUP (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/STANDARD BANK GROUP.csv
STANDARD CHARTERED BANK KENYA (KENYA),imported,STANDARD CHARTERED BANK KENYA (KENYA),10,/Users/derrythornalley/AM100_DATA/data/dividends/kenya/STANDARD CHARTERED BANK KENYA.csv
STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),imported,STERLING FINANCIAL HOLDINGS NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/STERLING FINANCIAL HOLDINGS NIGERIA.csv
TALAAT MOUSTAFA GROUP EGYPT (EGYPT),imported,TALAAT MOUSTAFA GROUP EGYPT (EGYPT),9,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/TALAAT MOUSTAFA GROUP EGYPT.csv
TELECOM EGYPT (EGYPT),imported,TELECOM EGYPT (EGYPT),10,/Users/derrythornalley/AM100_DATA/data/dividends/egypt/TELECOM EGYPT.csv
TIGER BRANDS (SOUTH AFRICA),imported,TIGER BRANDS (SOUTH AFRICA),18,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/TIGER BRANDS.csv
TRANSCORP PLC NIGERIA (NIGERIA),imported,TRANSCORP PLC NIGERIA (NIGERIA),12,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/TRANSCORP PLC NIGERIA.csv
TRANSCORP POWER NIGERIA (NIGERIA),imported,TRANSCORP POWER NIGERIA (NIGERIA),5,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/TRANSCORP POWER NIGERIA.csv
TRUWORTHS INTERNATIONAL LTD (SOUTH AFRICA),imported,TRUWORTHS INTERNATIONAL LTD (SOUTH AFRICA),21,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/TRUWORTHS INTERNATIONAL LTD.csv
UNILEVER NIGERIA (NIGERIA),imported,UNILEVER NIGERIA (NIGERIA),10,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/UNILEVER NIGERIA.csv
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),imported,UNITED BANK FOR AFRICA NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/UNITED BANK FOR AFRICA NIGERIA.csv
VODACOM (SOUTH AFRICA),imported,VODACOM (SOUTH AFRICA),20,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/VODACOM.csv
WEMA BANK NIGERIA (NIGERIA),imported,WEMA BANK NIGERIA (NIGERIA),7,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/WEMA BANK NIGERIA.csv
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),imported,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),13,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/WILSON BAYLY HOLMES OVCON.csv
WOOLWORTHS HOLDINGS (SOUTH AFRICA),imported,WOOLWORTHS HOLDINGS (SOUTH AFRICA),19,/Users/derrythornalley/AM100_DATA/data/dividends/south_africa/WOOLWORTHS HOLDINGS.csv
ZENITH BANK NIGERIA (NIGERIA),imported,ZENITH BANK NIGERIA (NIGERIA),20,/Users/derrythornalley/AM100_DATA/data/dividends/nigeria/ZENITH BANK NIGERIA.csv
