InputCompany,MatchType,MatchedCompany,AM100,AM200,AM300,CoveragePct,LatestAvgDailyUSDLiquidity,LatestRank,Status,Reason
Tanzania Cigarette Publice Limited Company,missing,,,,,,,,Missing entirely,not_in_master_dataset
QNB Alahli,missing,,,,,,,,Missing entirely,not_in_master_dataset
Suez Canal Bank,missing,,,,,,,,Missing entirely,not_in_master_dataset
Maridive and Oil Services S.A.E.,missing,,,,,,,,Missing entirely,not_in_master_dataset
Geregu Power Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
Ecobank Ghana PLC,exact_normalized,ECOBANK GHANA (GHANA),False,False,False,0.6451699223976451,240232.05759036145,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Agricultural Development Bank PLC,likely_match,AGRICULTURAL DEVELOPMENT BANK GHANA (GHANA),False,False,False,0.6087770939256087,39.04734939759036,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Standard Chartered Bank Ghana PLC,exact_normalized,STANDARD CHARTERED BANK GHANA (GHANA),False,False,False,0.6451699223976451,127562.26,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Societe Generale Ghana PLC,likely_match,SOCIÉTÉ GÉNÉRALE GHANA (GHANA),False,False,False,0.6475782713406476,588182.6790963855,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Republic Bank (Ghana) PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
TotalEnergies Marketing Ghana PLC,likely_match,TOTALENERGIES MARKETING KENYA (KENYA),False,True,True,0.6622959593256623,1116288.7608823532,182.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
GOIL PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Fan Milk PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Enterprise Group PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
SIC Insurance PLC,exact_normalized,SIC INSURANCE (GHANA),False,False,False,0.6449023280706448,137133.8437349398,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Cocoa Processing Company Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Mega African Capital Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Clydestone (Ghana) PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Intravenous Infusions PLC,missing,,,,,,,,Missing entirely,not_in_master_dataset
Aluworks Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Camelot Ghana Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Standard Chartered Bank Kenya Ltd,likely_match,STANDARD CHARTERED BANK KENYA (KENYA),False,True,True,0.6641691196146642,21022605.75147059,148.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Diamond Trust Bank Kenya Ltd,likely_match,DIAMOND TRUST BANK KENYA (KENYA),False,True,True,0.6604227990366605,9822955.863235297,149.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
"Crédit Immobilier et Hôtelier, Société Anonyme",missing,,,,,,,,Missing entirely,not_in_master_dataset
DCB Commercial Bank Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
Maendeleo Bank Plc,missing,,,,,,,,Missing entirely,not_in_master_dataset
Zambia Sugar Plc,exact_normalized,ZAMBIA SUGAR (ZAMBIA),False,False,False,0.6392828472036393,116836.39639534884,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Wilson Bayly Holmes - Ovcon Limited,likely_match,WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),False,True,True,0.683971099812684,22441540.20632184,128.0,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
Standard Chartered Bank Zambia Plc,exact_normalized,STANDARD CHARTERED BANK ZAMBIA (ZAMBIA),False,False,False,0.6414236018196414,26796.00186046512,,Excluded,coverage_below_95pct; starts_after_2016; large_data_gaps
Airtel Uganda Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
Seed Co International Limited,missing,,,,,,,,Missing entirely,not_in_master_dataset
