Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
SANTAM (SOUTH AFRICA),OK,1782226.1601283522,20.38081994102157,87,87,1782226.1601283522,1782226.1601283522,356445.23202567047,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,1782226.1601283522,63.0,True,2025-04-30
BELTONE HOLDING EGYPT (EGYPT),ZERO_CONFIRMED,1655092.5992401743,0.04135444718601784,86,86,1655092.5992401743,1655092.5992401743,331018.5198480349,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1655092.5992401743,64.0,True,2025-04-30
NINETY ONE (SOUTH AFRICA),OK,1484133.70141508,1.899129306290723,87,87,1484133.70141508,1484133.70141508,296826.74028301606,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,1484133.70141508,65.0,True,2025-04-30
CIMENTS DU MAROC MOROCCO (MOROCCO),OK,1334104.470222196,209.5224723651739,87,87,1334104.470222196,1334104.470222196,266820.89404443925,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,1334104.470222196,66.0,True,2025-04-30
HELIOPOLIS CO. FOR HOUSING & DEVELOPMENT (EGYPT),OK,1321530.5210726634,0.2162699080110885,86,86,1321530.5210726634,1321530.5210726634,264306.1042145327,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1321530.5210726634,67.0,True,2025-04-30
COSUMAR MOROCCO (MOROCCO),OK,1317031.8430438933,24.40828801779861,87,87,1317031.8430438933,1317031.8430438933,263406.3686087787,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,1317031.8430438933,68.0,True,2025-04-30
CORONATION (NAMIBIA),OK,1302120.442694739,2.122816593886463,87,87,1302120.442694739,1302120.442694739,260424.0885389478,30,,,,,2025-04-30,2025-03-31,2025-04-30,NAMIBIA,LOW,1302120.442694739,69.0,True,2025-04-30
EGYPT ALUMINIUM (EGYPT),OK,1290605.0229706913,3.452799537779959,86,86,1290605.0229706913,1290605.0229706913,258121.00459413827,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1290605.0229706913,70.0,True,2025-04-30
FAWRY EGYPT (EGYPT),ZERO_CONFIRMED,1252396.4701258603,0.1899534416199863,86,86,1252396.4701258603,1252396.4701258603,250479.29402517207,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1252396.4701258603,71.0,True,2025-04-30
EMAAR MISR EGYPT (EGYPT),ZERO_CONFIRMED,1228985.1770248746,0.1640327115655923,86,86,1228985.1770248746,1228985.1770248746,245797.03540497494,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1228985.1770248746,72.0,True,2025-04-30
EASTERN TOBACCO EGYPT (EGYPT),OK,1122781.3062622396,0.6579116597775566,86,86,1122781.3062622396,1122781.3062622396,224556.26125244793,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,1122781.3062622396,73.0,True,2025-04-30
MANAGEM MOROCCO (MOROCCO),OK,1066206.2722410068,542.1663975634913,83,83,1066206.2722410068,1066206.2722410068,213241.2544482014,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,1066206.2722410068,74.0,True,2025-04-30
SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),OK,984150.6484207307,0.4260101664664901,86,86,984150.6484207307,984150.6484207307,196830.12968414614,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,984150.6484207307,75.0,True,2025-04-30
ZENITH BANK NIGERIA (NIGERIA),OK,924934.9621593975,0.03072015896048211,86,86,924934.9621593975,924934.9621593975,184986.9924318795,30,,,,,2025-04-30,2025-03-31,2025-04-30,NIGERIA,MID,924934.9621593975,76.0,True,2025-04-30
IBNSINA PHARMA (EGYPT),OK,914698.2091272919,0.1755090653301331,86,86,914698.2091272919,914698.2091272919,182939.64182545838,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,914698.2091272919,77.0,True,2025-04-30
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),OK,898791.6314858511,205.5264252118175,87,87,898791.6314858511,898791.6314858511,179758.32629717025,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,898791.6314858511,78.0,True,2025-04-30
