Company,HasPriceSeries,HasDividendSeries,DividendEvents,Status,Dividend_Status,Materiality,ResolutionAction,WorkbookHeader
KAP LTD (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
KAVANGO RESOURCES (ZIMBABWE),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
KCB GROUP KENYA (KENYA),True,True,18,OK,OK,MATERIAL,None,KCB GROUP KENYA (KENYA)
KCB GROUP TANZANIA (TANZANIA),True,True,9,OK,OK,MATERIAL,None,
KENYA AIRWAYS (KENYA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
KENYA ELECTRICITY GENERATING CO (KENYA),True,True,8,OK,OK,NON_MATERIAL,None,KENYA ELECTRICITY GENERATING CO (KENYA)
KENYA PIPELINE COMPANY KENYA (KENYA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
KENYA POWER (KENYA),True,True,5,OK,OK,NON_MATERIAL,None,
KENYA REINSURANCE CORPORATION LIMITED (KENYA),True,True,11,OK,OK,NON_MATERIAL,None,
KLAPTON RE REAL ESTATE ZAMBIA (ZAMBIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
KUMBA IRON ORE (SOUTH AFRICA),True,True,12,OK,OK,MATERIAL,None,KUMBA IRON ORE (SOUTH AFRICA)
LABEL VIE (MOROCCO),False,True,11,Missing Price,OK,NON_MATERIAL,None,
LAFARGE AFRICA NIGERIA (NIGERIA),True,True,12,OK,OK,MATERIAL,None,LAFARGE AFRICA NIGERIA (NIGERIA)
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),True,True,8,OK,OK,NON_MATERIAL,None,
LETSHEGO HOLDINGS (NAMIBIA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
LIBERTY KENYA HOLDINGS (KENYA),True,True,2,OK,OK,NON_MATERIAL,None,
LIFE HEALTHCARE (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,LIFE HEALTHCARE (SOUTH AFRICA)
LONGHORN KENYA (KENYA),True,True,5,OK,OK,NON_MATERIAL,None,
LUX ISLAND RESTORTS MAURITIUS (MAURITIUS),True,True,9,OK,OK,NON_MATERIAL,None,
MADINET MASR FOR HOUSING AND DEVELOPMENT (EGYPT),False,True,9,Missing Price,OK,NON_MATERIAL,None,
MADISON FINANCIAL SERVICES (ZAMBIA),True,True,4,OK,OK,NON_MATERIAL,None,
MAENDELEO BANK TANZANIA (TANZANIA),True,True,2,OK,OK,NON_MATERIAL,None,
MANAGEM MOROCCO (MOROCCO),True,True,8,OK,OK,NON_MATERIAL,None,
MARIDIVE OIL SERVICE EGYPT (EGYPT),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
MAROC TELECOM MOROCCO (MOROCCO),True,True,10,OK,OK,MATERIAL,None,MAROC TELECOM MOROCCO (MOROCCO)
MARSA MAROC MOROCCO (MOROCCO),True,True,8,OK,OK,MATERIAL,None,MARSA MAROC MOROCCO (MOROCCO)
MCB GROUP LTD MAURITIUS (MAURITIUS),True,True,18,OK,OK,MATERIAL,None,MCB GROUP LTD MAURITIUS (MAURITIUS)
MEGA AFRICAN CAPITAL LIMITED (GHANA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
MKOMBOZI COMMERCIAL BANK TANZANIA (TANZANIA),True,True,1,OK,OK,NON_MATERIAL,None,
MOBILE TELECOMMUNICATIONS (NAMIBIA),True,True,9,OK,OK,NON_MATERIAL,None,
MOMENTUM METROPOLITAN HOLDINGS LTD (SOUTH AFRICA),False,True,18,Missing Price,OK,NON_MATERIAL,None,
MONDI (SOUTH AFRICA),True,True,20,OK,OK,MATERIAL,None,MONDI (SOUTH AFRICA)
MOTUS HOLDINGS (SOUTH AFRICA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,MATERIAL,Assume zero; no mapped header or dividend file,
MOTUS HOLDINGS LTD (SOUTH AFRICA),False,True,13,Missing Price,OK,NON_MATERIAL,None,
MR PRICE (SOUTH AFRICA),True,True,19,OK,OK,MATERIAL,None,MR PRICE (SOUTH AFRICA)
MTN GHANA (GHANA),True,True,2,OK,OK,NON_MATERIAL,None,
MTN GROUP (SOUTH AFRICA),True,True,5,OK,OK,MATERIAL,None,MTN GROUP (SOUTH AFRICA)
MTN NIGERIA (NIGERIA),True,True,11,OK,OK,MATERIAL,None,MTN NIGERIA (NIGERIA)
MTN RWANDA (RWANDA),True,False,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
MTN RWANDACELL (RWANDA),False,True,5,Missing Price,OK,NON_MATERIAL,None,
MTN UGANDA (UGANDA),True,True,13,OK,OK,MATERIAL,None,
MUCOBA BANK TANZANIA (TANZANIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
MWALIMU COMMERCIAL BANK TANZANIA (TANZANIA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
NAIROBI BUSINESS VENTURES KENYA (KENYA),True,True,0,Missing Source,MISSING_SOURCE_ASSUMED_ZERO,NON_MATERIAL,Assume zero; no mapped header or dividend file,
NAIROBI SECURITIES EXCHANGE KENYA (KENYA),True,True,7,OK,OK,NON_MATERIAL,None,
NAMIBIA BREWERIES (NAMIBIA),True,True,16,OK,OK,NON_MATERIAL,None,
NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA),True,True,9,OK,OK,MATERIAL,None,NASCON ALLIED INDUSTRIES NIGERIA (NIGERIA)
NASPERS (SOUTH AFRICA),True,True,12,OK,OK,MATERIAL,None,NASPERS (SOUTH AFRICA)
