company,country,status,reason,flag_low_history,flag_illiquid,flag_missing_data,flag_outlier_return
WILSON BAYLY HOLMES OVCON (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
WOOLWORTHS HOLDINGS (SOUTH AFRICA),SOUTH_AFRICA,INCLUDED,passed filters,False,False,False,False
AFRIPRISE INVESTMENT TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
CRDB BANK PLC TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
DCB COMMERCIAL BANK PLC TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
DAR ES SALAAM STOCK EXCHANGE PLC (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
KCB GROUP TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
MAENDELEO BANK TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
MKOMBOZI COMMERCIAL BANK TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
MUCOBA BANK TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
MWALIMU COMMERCIAL BANK TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
NMB BANK TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
NATIONAL INVESTMENT COMPANY TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
PRECISION AIR SERVICES TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
SWISSPORT TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
TANZANIA TEA PACKERS (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
TOL GASES TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
TANGA CEMENT TANZANIA (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
TANZANIA BREWERIES LTD (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
TANZANIA CIGARETTE COMPANY (TANZANIA),TANZANIA,INCLUDED,passed filters,False,False,False,False
