Date,High Risk
2020-11-18,1528.317521507162
2020-11-19,1533.3649507276277
2020-11-20,1535.1603043064579
2020-11-22,1533.0099684797776
2020-11-23,1522.5226332628536
2020-11-24,1521.6874235807445
2020-11-25,1531.4277603966168
2020-11-26,1535.896715432539
2020-11-27,1528.9635024840427
2020-11-29,1532.0404497442876
2020-11-30,1528.629420368067
2020-12-01,1528.629420368067
2020-12-02,1532.8284794446852
2020-12-03,1540.8908592771063
2020-12-04,1542.9216717425927
2020-12-06,1550.341479953425
2020-12-07,1559.11400787026
2020-12-08,1566.3405078136186
2020-12-09,1565.121561049385
2020-12-10,1568.7600839186275
2020-12-11,1586.7600726054147
2020-12-13,1589.6969120446545
2020-12-14,1581.6870798410146
2020-12-15,1574.169272154331
2020-12-16,1582.4167832116377
2020-12-17,1594.8598728168222
2020-12-18,1595.1605144035273
2020-12-20,1602.1263912311422
2020-12-21,1583.4323845856973
2020-12-22,1592.9161068346098
2020-12-23,1604.6017831895663
2020-12-24,1618.6405882312963
2020-12-25,1616.9607713301093
2020-12-27,1612.2926923303423
2020-12-28,1624.1499795716122
2020-12-29,1640.0912346128393
2020-12-30,1656.934175005656
2020-12-31,1671.0217268257877
2021-01-03,1671.0217268257877
2021-01-04,1679.0241794848134
2021-01-05,1665.9213230512719
2021-01-06,1646.031139538131
2021-01-07,1646.078243312313
2021-01-08,1644.6240886101743
2021-01-10,1645.1653081065383
2021-01-11,1647.055477983297
2021-01-12,1660.5486315653684
2021-01-13,1667.267405681791
2021-01-14,1697.2801471640219
2021-01-15,1705.6103646173876
2021-01-17,1709.5297291333757
2021-01-18,1720.052551305869
2021-01-19,1720.7721538790265
2021-01-20,1732.5366061094549
2021-01-21,1724.2067458957765
2021-01-22,1725.8540395052141
2021-01-24,1725.6113158084052
2021-01-25,1747.1008777865645
2021-01-26,1760.4327592287748
2021-01-27,1756.112587169598
2021-01-28,1767.0147091950328
2021-01-29,1765.3831443062747
2021-01-31,1767.820511936146
2021-02-01,1767.820511936146
2021-02-02,1760.3816999177495
2021-02-03,1775.7851141457547
2021-02-04,1786.6318229936153
2021-02-05,1785.4960811634858
2021-02-07,1788.0250107869135
2021-02-08,1791.716693014709
2021-02-09,1778.2231725850174
2021-02-10,1765.0150374879136
2021-02-11,1754.9900961132118
2021-02-12,1763.6784946721236
2021-02-14,1762.4254884916213
2021-02-15,1760.4467885198046
2021-02-16,1767.2768619262624
2021-02-17,1769.65382040077
2021-02-18,1767.358509054146
2021-02-19,1763.2699488655883
2021-02-21,1767.1854377085306
2021-02-22,1771.3934989919226
2021-02-23,1776.1425651299728
2021-02-24,1772.5635218460623
2021-02-25,1778.1289859520414
2021-02-26,1780.843698742581
2021-02-28,1779.2197086466122
2021-03-01,1779.2197086466122
2021-03-02,1788.5367447119254
2021-03-03,1792.0016390220671
2021-03-04,1780.2455971775876
2021-03-05,1778.5196196957577
2021-03-07,1793.3283687140072
2021-03-08,1808.8096287897993
2021-03-09,1806.7566889431737
2021-03-10,1803.5332849255433
2021-03-11,1815.9372893369707
2021-03-12,1812.321203318027
2021-03-14,1806.630416734345
2021-03-15,1797.3337326282415
2021-03-16,1798.8899109562494
2021-03-17,1805.2185126959741
2021-03-18,1801.3721251656784
2021-03-19,1812.2351114300134
2021-03-21,1804.5021384765157
2021-03-22,1785.126874505842
2021-03-23,1778.0483006662148
2021-03-24,1779.7072937769633
2021-03-25,1789.8918874945125
2021-03-26,1790.7423901615377
2021-03-28,1794.5734006680066
2021-03-29,1808.302807217889
2021-03-30,1820.4385153100677
2021-03-31,1820.7378660141537
2021-04-01,1820.7378660141537
2021-04-02,1821.3611956605894
2021-04-04,1819.1270707906822
2021-04-05,1807.4524947751302
2021-04-06,1805.5073825171467
2021-04-07,1795.7292994714737
2021-04-08,1798.8389025261285
2021-04-09,1793.2131181218595
2021-04-11,1798.1924143830688
2021-04-12,1811.3314665588468
2021-04-13,1812.1139452011378
2021-04-14,1789.619414873452
2021-04-15,1785.785935015702
2021-04-16,1781.0111508180526
2021-04-18,1782.9375775858011
2021-04-19,1793.3464080489696
2021-04-20,1814.3587197937509
2021-04-21,1822.5343552615561
2021-04-22,1820.4410230800706
2021-04-23,1830.281766042587
2021-04-25,1834.3162836150432
2021-04-26,1840.5212624080002
2021-04-27,1838.2895136305851
2021-04-28,1839.978031671213
2021-04-29,1843.9065995578926
