Company,CoveragePct,FirstValidDate,LastValidDate,LargeGapCount,MaxGapDays,LatestAvgDailyUSDLiquidity,MeanAvgDailyUSDLiquidity,LiquidityTier,LatestRank,AM100,AM200,AM300,Status,Reason
STANDARD CHARTERED BANK KENYA (KENYA),0.6641691196146642,2016-01-04,2026-12-03,12,31,21022605.75147059,6506078.840027778,AM100-scale,148.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BANQUE CENTRALE POPULAIRE MOROCCO (MOROCCO),0.6612255820176612,2016-01-04,2026-12-03,11,59,20591439.114417177,13782229.583790144,AM100-scale,158.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
PSG KONSULT (SOUTH AFRICA),0.683971099812684,2016-01-02,2026-12-03,9,31,19577369.735057473,5723142.862435907,AM100-scale,137.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BRALIRWA RWANDA (RWANDA),0.6427615734546428,2016-01-08,2026-12-03,13,31,18891133.720930234,23721867.378733143,AM100-scale,165.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
CORONATION INSURANCE NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,18296558.076588236,3530215.9728276376,AM100-scale,155.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
LAFARGEHOLCIM MAROC MOROCCO (MOROCCO),0.6612255820176612,2016-01-04,2026-12-03,11,59,17827730.18404908,6487867.365315016,AM100-scale,152.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
KENYA ELECTRICITY GENERATING CO (KENYA),0.6639015252876639,2016-01-04,2026-12-03,12,31,17329444.832294118,4735475.470524595,AM100-scale,144.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
NCBA GROUP KENYA (KENYA),0.6641691196146642,2016-01-04,2026-12-03,12,31,17244567.776470587,6501292.576664305,AM100-scale,141.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
KENYA POWER (KENYA),0.6639015252876639,2016-01-04,2026-12-03,12,31,16985727.565294117,3584050.900126635,AM100-scale,161.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BERGER PAINTS NIGERIA (NIGERIA),0.6604227990366605,2016-01-04,2026-12-03,12,31,16979458.780294117,2148993.393618533,AM100-scale,156.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
I&M GROUP KENYA (KENYA),0.6582820444206583,2016-01-04,2026-12-03,12,31,16724491.025,4827452.314639857,AM100-scale,138.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BRITISH AMERICAN TOBACCO KENYA (KENYA),0.6572116671126572,2016-01-07,2026-12-03,12,31,16707690.952941176,15172277.460203674,AM100-scale,150.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
MTN GHANA (GHANA),0.4947819106234948,2018-01-10,2026-12-03,18,32,15714796.910783133,2307440.515688695,AM100-scale,160.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
INNSCOR AFRICA (ZIMBABWE),0.6058335563286058,2016-01-04,2026-12-03,21,31,15136273.117529413,19296325.00395799,AM100-scale,135.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
ORAGROUP TOGO (TOGO),0.4618678084024619,2019-01-07,2026-12-03,12,31,14449458.139534883,21182222.757682193,AM100-scale,136.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
PADENGA HOLDINGS (ZIMBABWE),0.5796093122825796,2016-01-04,2026-12-03,26,32,12982029.103764705,1045316.2150876323,AM100-scale,162.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
BANK OF AFRICA MOROCCO (MOROCCO),0.6612255820176612,2016-01-04,2026-12-03,11,59,11831203.49386503,7107919.881789531,AM100-scale,154.0,False,True,True,Included AM200,coverage_below_95pct; starts_after_2016; large_data_gaps
